41,52|-2,37
38,88|-65,-43
55,57|-37,78
64,89|-53,31
55,40|-74,95
55,60|87,-22
99,26|-39,86
83,6|61,33
26,38|82,-66
21,4|70,-16
88,85|-90,-62
60,58|28,11
69,72|8,24
89,95|-44,14
29,76|-69,36
77,50|52,56
63,53|50,-86
10,40|-19,86
37,91|93,-87
75,13|11,-65
56,50|45,-22
21,91|-66,39
65,49|-48,-46
18,52|27,2
87,69|-37,-5
10,93|20,58
63,10|-53,-90
30,0|-62,67
60,12|85,-18
33,67|81,-20
11,36|-29,-29
46,38|-59,-4
67,62|99,56
7,27|-34,-60
50,49|-6,-71
40,37|33,-34
59,92|89,-21
63,19|-55,84
69,0|-93,-4
74,19|46,-4
4,98|-34,48
6,89|-67,20
4,62|-25,41
80,69|-41,7
75,98|-90,-65
45,19|-8,99
89,4|61,38
79,101|56,-85
16,77|-69,9
84,97|-98,53
6,80|18,-96
93,49|-86,-49
2,27|-6,24
46,65|-54,-20
97,29|15,3
43,96|81,31
78,90|-46,-94
29,88|32,58
1,67|-36,78
92,69|-37,56
74,9|-49,-63
20,39|26,86
60,16|-53,18
11,33|98,56
28,90|-35,75
21,93|76,28
55,55|-2,54
20,62|23,81
91,27|95,20
97,21|-36,13
84,86|58,75
49,57|40,49
40,44|39,-51
14,59|-77,2
58,43|-53,-44
50,82|-52,-72
51,40|-7,5
80,98|-97,92
62,34|-3,-88
68,57|53,53
33,84|-15,-40
47,82|83,90
91,24|4,-34
68,79|85,-53
69,16|57,-23
36,31|-88,-13
67,47|7,-15
55,6|-8,-75
45,77|-63,68
19,69|79,-9
99,85|-34,63
73,43|57,-66
0,17|-48,43
82,68|-91,83
17,33|77,10
37,68|78,-35
88,63|10,73
12,24|24,-36
10,6|-77,-65
90,91|69,14
81,93|-78,67
62,20|1,72
87,102|-90,-65
5,67|-39,61
24,79|61,-95
28,46|-73,-39
4,11|74,-34
35,22|28,-94
81,4|6,92
4,23|-83,1
41,19|36,-19
47,65|98,-84
87,73|58,-47
40,45|-9,-78
27,24|32,8
24,1|-40,-55
67,13|10,97
25,92|-6,-69
78,89|-68,19
14,37|22,42
16,58|-79,-81
78,58|4,17
86,46|58,59
20,2|-23,33
56,65|96,-80
87,51|-90,-5
60,75|99,-67
21,36|80,-34
96,19|-37,-80
96,96|97,-37
2,15|-10,-78
31,34|36,52
15,58|23,-32
15,62|-26,-81
42,13|-63,-85
40,83|-97,81
31,20|-16,45
47,26|-6,-14
84,4|10,-16
51,42|-60,-34
60,46|-47,-71
71,30|-46,-78
91,63|10,-29
56,61|96,44
19,14|-76,-4
36,53|31,-76
19,90|-76,43
42,6|-12,-48
57,50|26,23
84,86|11,85
85,23|-53,75
71,10|29,17
4,37|-90,-95
67,96|79,14
37,38|-23,91
55,93|-56,21
43,55|-12,81
82,75|66,56
87,58|-44,17
41,91|33,-5
36,64|23,-64
28,86|-94,-78
74,82|53,90
40,95|90,-23
10,92|-78,-23
31,99|78,40
10,5|-37,3
10,5|-31,60
64,50|-53,92
26,102|22,28
78,23|85,-15
18,58|-83,-57
66,101|-57,34
47,47|1,5
69,78|-57,30
53,25|43,47
59,67|-96,93
75,70|-45,46
44,64|-12,27
10,35|-79,-83
74,48|61,-7
74,98|61,-97
2,69|-52,-28
51,89|-58,85
93,8|49,99
0,20|69,22
99,32|-89,27
14,54|-26,66
58,40|-87,-28
53,13|-61,-80
87,7|-91,94
59,92|2,-17
81,25|5,16
90,2|13,-66
96,76|58,12
48,98|91,-60
61,50|-7,-71
80,30|46,-30
12,100|61,-31
74,2|-95,92
41,58|55,-79
41,98|87,-60
65,60|25,-4
42,71|30,61
19,68|33,22
