620,236
589,126
260,42
335,250
33,475
916,60
250,228
817,274
836,930
514,457
872,884
11,966
941,908
760,139
892,161
775,872
946,63
637,565
881,294
995,866
952,57
387,599
46,724
992,19
909,687
953,804
907,410
192,898
196,400
144,141
377,942
89,46
172,448
351,18
490,127
851,465
465,978
549,307
426,943
477,782
745,445
118,902
778,306
593,810
629,319
122,109
720,536
519,541
461,98
647,228
810,82
191,150
460,419
349,490
279,311
632,181
857,4
114,490
556,662
134,496
520,269
13,440
859,860
448,184
707,90
662,231
896,482
842,701
590,699
561,111
716,153
231,805
552,136
555,591
467,281
702,811
523,265
200,994
156,920
822,281
3,591
993,139
315,53
561,236
774,675
366,787
295,622
180,419
280,790
909,222
776,879
320,196
722,924
356,881
395,986
989,545
585,894
197,752
926,356
701,87
533,170
983,219
409,813
367,910
475,252
726,104
463,124
832,80
832,720
499,120
487,73
818,611
911,620
518,885
73,477
426,102
669,330
14,255
775,662
919,422
788,912
414,182
361,64
715,19
404,92
162,794
156,595
619,461
84,893
904,58
397,193
835,565
179,388
711,179
141,691
662,493
852,288
388,80
838,473
521,965
461,646
301,798
412,607
505,681
11,690
634,683
471,76
765,236
103,839
508,807
415,82
545,345
717,102
407,39
66,512
630,194
556,839
949,374
93,979
500,125
554,209
489,287
353,900
606,807
835,964
580,757
735,380
908,597
830,216
131,112
214,624
491,389
308,352
473,610
96,433
15,226
570,554
162,708
735,501
47,211
403,568
675,223
355,402
172,474
907,382
479,938
18,557
413,86
134,954
572,608
392,779
268,986
632,679
707,831
210,504
188,858
828,586
48,75
899,170
96,375
958,29
519,379
750,986
144,674
523,649
48,556
170,217
628,552
201,642
707,964
930,602
510,583
447,765
433,161
797,743
597,762
298,716
834,555
262,528
348,753
290,118
607,348
121,228
306,751
485,702
33,730
250,103
580,640
39,871
66,708
886,576
664,110
198,8
558,124
271,988
79,763
389,9
678,773
522,262
179,979
143,707
732,344
743,974
580,824
10,399
540,576
137,605
945,779
952,504
377,827
2,573
192,965
411,367
181,566
571,574
721,269
641,715
38,177
251,717
490,192
334,149
921,662
767,331
873,278
726,818
961,791
320,807
425,375
310,951
434,652
984,804
363,658
909,440
624,801
473,118
421,299
358,981
179,656
483,226
351,736
400,769
446,656
831,757
554,594
992,883
684,266
413,681
276,497
686,181
711,352
887,977
553,296
244,750
995,429
30,375
957,599
848,412
208,330
291,832
954,916
360,461
176,724
529,706
394,403
461,505
555,534
972,671
7,361
519,583
907,286
174,628
400,722
705,103
821,931
741,976
11,473
486,596
784,304
388,976
368,451
191,133
121,338
477,95
868,121
241,456
565,994
435,842
866,963
587,894
227,14
65,333
248,73
933,695
785,281
821,603
706,661
261,678
649,460
306,571
946,26
681,34
71,890
974,246
198,364
256,64
267,232
357,369
488,801
