620,236
589,126
260,42
335,250
422,738
694,717
417,219
366,638
773,126
757,799
778,467
487,365
172,666
33,475
916,60
250,228
817,274
836,930
514,457
872,884
11,966
941,908
760,139
892,161
775,872
946,63
637,565
881,294
995,866
952,57
387,599
46,724
992,19
909,687
953,804
907,410
192,898
196,400
144,141
377,942
89,46
172,448
351,18
490,127
851,465
465,978
549,307
426,943
477,782
745,445
118,902
523,781
350,886
968,958
125,903
139,859
339,100
548,608
21,567
798,591
398,197
296,785
833,729
858,55
789,160
320,473
281,366
415,485
550,20
109,947
915,217
264,899
137,563
563,802
121,341
533,553
605,211
607,201
592,310
565,816
52,983
306,909
724,497
489,24
397,282
86,511
463,903
302,904
707,359
687,987
915,123
809,835
139,828
807,713
363,160
672,112
185,994
234,464
647,845
994,732
581,905
458,49
539,976
28,592
350,287
437,102
813,883
337,905
488,283
703,476
487,921
761,203
32,930
778,306
593,810
629,319
122,109
720,536
519,541
461,98
647,228
810,82
191,150
460,419
349,490
279,311
632,181
857,4
114,490
502,531
923,724
377,189
343,443
963,385
131,676
113,570
853,789
736,139
447,113
912,658
587,480
389,102
200,564
24,400
595,551
969,989
899,264
354,715
914,563
50,819
970,506
358,287
291,276
946,666
31,79
919,720
970,193
439,354
427,831
353,771
524,353
737,977
977,323
744,883
49,407
556,662
134,496
520,269
13,440
859,860
448,184
707,90
662,231
896,482
842,701
590,699
561,111
716,153
231,805
552,136
555,591
467,281
702,811
543,7
144,343
982,231
312,551
973,85
321,137
860,384
540,230
747,508
474,335
748,138
973,899
252,461
278,445
523,265
200,994
156,920
822,281
3,591
993,139
315,53
561,236
774,675
366,787
295,622
180,419
280,790
909,222
98,91
167,958
675,905
787,123
982,476
613,499
461,433
418,980
835,479
852,92
393,812
54,319
23,133
401,60
615,621
77,795
935,990
843,623
374,785
113,822
305,505
841,37
879,852
485,947
17,660
209,54
108,833
312,605
776,879
320,196
722,924
356,881
395,986
989,545
585,894
197,752
926,356
701,87
533,170
983,219
409,813
367,910
475,252
726,104
463,124
832,80
832,720
499,120
487,73
818,611
911,620
518,885
73,477
426,102
669,330
14,255
775,662
919,422
748,857
205,925
611,78
788,912
414,182
